"","GEOID2_Tex","GEOID","rel_n_2008","rel_n_2016","fac_n_2008","fac_n_2016","rel_diff","fac_diff"
"385",90012106003,"1500000US090012106003",0,0,0,0,0,0
"386",90012106004,"1500000US090012106004",0,0,0,0,0,0
"387",90012107005,"1500000US090012107005",0,0,0,0,0,0
"388",90012107002,"1500000US090012107002",0,0,0,0,0,0
"389",90012107001,"1500000US090012107001",0,0,0,0,0,0
"390",90012107003,"1500000US090012107003",0,0,1,1,0,0
"391",90012107004,"1500000US090012107004",0,0,0,0,0,0
"392",90012108003,"1500000US090012108003",0,0,0,0,0,0
"393",90012108001,"1500000US090012108001",0,0,0,0,0,0
"394",90010438002,"1500000US090010438002",0,0,0,0,0,0
"395",90010438004,"1500000US090010438004",0,0,0,0,0,0
"396",90010438001,"1500000US090010438001",0,0,0,0,0,0
"397",90010439004,"1500000US090010439004",0,0,0,0,0,0
"398",90010439003,"1500000US090010439003",0,0,0,0,0,0
"399",90010441002,"1500000US090010441002",0,0,0,0,0,0
"400",90010439001,"1500000US090010439001",0,0,0,0,0,0
"401",90011104002,"1500000US090011104002",0,0,0,0,0,0
"402",90011104009,"1500000US090011104009",0,0,0,0,0,0
"403",90011104001,"1500000US090011104001",0,0,0,0,0,0
"404",90011105009,"1500000US090011105009",0,0,0,0,0,0
"405",90011105003,"1500000US090011105003",0,0,0,0,0,0
"406",90011105001,"1500000US090011105001",0,0,0,0,0,0
"407",90011102022,"1500000US090011102022",0.8,0,1,0,-0.8,-1
"408",90010451021,"1500000US090010451021",0,0,0,0,0,0
"409",90011106004,"1500000US090011106004",0,0,0,0,0,0
"410",90011106001,"1500000US090011106001",0,0,0,0,0,0
"411",90012571003,"1500000US090012571003",0,0,0,0,0,0
"412",90012571002,"1500000US090012571002",0,0,0,0,0,0
"413",90012571001,"1500000US090012571001",0,0,0,0,0,0
"414",90010201003,"1500000US090010201003",0,0,0,0,0,0
"415",90010201001,"1500000US090010201001",0,0,0,0,0,0
"416",90010103003,"1500000US090010103003",0,0,0,0,0,0
"417",90010103001,"1500000US090010103001",0,0,0,0,0,0
"418",90010103002,"1500000US090010103002",0,0,0,0,0,0
"419",90010103005,"1500000US090010103005",0,0,0,0,0,0
"420",90010104003,"1500000US090010104003",0,0,0,0,0,0
"421",90010104004,"1500000US090010104004",0,0,0,0,0,0
"422",90010104001,"1500000US090010104001",0,0,0,0,0,0
"423",90012003024,"1500000US090012003024",0,0,0,0,0,0
"424",90012003029,"1500000US090012003029",0,0,0,0,0,0
"425",90012003025,"1500000US090012003025",0,0,0,0,0,0
"426",90012003023,"1500000US090012003023",0,0,0,0,0,0
"427",90012001001,"1500000US090012001001",0,0,0,0,0,0
"428",90012002001,"1500000US090012002001",0,84.153,1,1,84.153,0
"429",90010454001,"1500000US090010454001",0,0,0,0,0,0
"430",90010454002,"1500000US090010454002",0.06,50.3952,1,1,50.3352,0
"431",90010805002,"1500000US090010805002",0,0,0,0,0,0
"432",90010806001,"1500000US090010806001",0,0,0,0,0,0
"433",90010806002,"1500000US090010806002",0,0,0,0,0,0
"434",90012108002,"1500000US090012108002",0,0,0,0,0,0
"435",90012109002,"1500000US090012109002",0,0,0,0,0,0
"436",90012109004,"1500000US090012109004",0,0,0,0,0,0
"437",90012109006,"1500000US090012109006",0,0,0,0,0,0
"438",90012109001,"1500000US090012109001",0,0,0,0,0,0
"439",90012110002,"1500000US090012110002",0,0,0,0,0,0
"440",90010439002,"1500000US090010439002",0,0,0,0,0,0
"441",90010440001,"1500000US090010440001",0,0,0,0,0,0
"442",90010440004,"1500000US090010440004",0,0,0,0,0,0
"443",90010440002,"1500000US090010440002",0,0,0,0,0,0
"444",90010440003,"1500000US090010440003",0,0,0,0,0,0
"445",90010440005,"1500000US090010440005",0,0,0,0,0,0
"446",90010441001,"1500000US090010441001",0,0,0,0,0,0
"447",90010442001,"1500000US090010442001",0,0,0,0,0,0
"448",90010218013,"1500000US090010218013",0,0,0,0,0,0
"449",90010201002,"1500000US090010201002",0,0,0,0,0,0
"450",90010202002,"1500000US090010202002",0,0,0,0,0,0
"451",90010202001,"1500000US090010202001",0,0,0,0,0,0
"452",90010203003,"1500000US090010203003",0,0,0,0,0,0
