Program, Transaction ID, Transaction Total, Transaction Type, Facility Name (Transferor), Account Number (Transferor), Account Name (Transferor), Facility ID (Transferor), State (Transferor), EPA Region (Transferor), Source Category (Transferor), Owner (Transferor), Representative (Transferor), Facility Name (Transferee), Account Number (Transferee), Account Name (Transferee), Facility ID (Transferee), State (Transferee), EPA Region (Transferee), Source Category (Transferee), Owner (Transferee), Representative (Transferee), Transaction Date, Allowance Vintage Year, Serial Number Start, Serial Number End, Block Totals
"ARP","126431","351059","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB3","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2007","995462","1006845","11384",
"ARP","126431","351059","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB3","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2007","9439404","9439407","4",
"ARP","126431","351059","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB3","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2007","1392662","1392754","93",
"ARP","126431","351059","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB3","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2008","9439404","9439407","4",
"ARP","126431","351059","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB3","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2008","1392662","1392754","93",
"ARP","126431","351059","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB3","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2008","995462","1006845","11384",
"ARP","126431","351059","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB3","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2009","995462","1006845","11384",
"ARP","126431","351059","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB3","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2009","9439404","9439407","4",
"ARP","126431","351059","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB3","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2009","1392662","1392754","93",
"ARP","126431","351059","Transfer from Legacy System","Bridgeport Harbor Station","00056800BHB3","Bridgeport Harbor Station","568","CT","1","Electric Utility","PSEG",,"Bridgeport Harbor Station","000568FACLTY","Bridgeport Harbor Station","568","CT","1",,"PSEG","Robert T Parnell (1436)","12/02/2006","2010","679644","679685","42",
