"Data Source: 2017 Updated Dataset (released April 2019) "
" "
"Facility name","TRI ID","Address","City","County","State","Zip Code","Year","Chemical","CAS","Federal (F) or Commercial (C)","Form Type (Form R or A)","Industry","Fugitive Air","Stack Air","Total Air","Surface Water Discharge","Underground Injection","Land Disposal","Total on-site release","Off-site release","Total on- and off-site releases","Transfer to recycling","Transfer to energy recovery","Transfer to treatment","Transfer to POTWs","Other off-site transfer","Total transfers off-site for waste management","Recycled on-site","Recycled off-site","Energy recovery on-site","Energy recovery off-site","Treated on-site","Treated off-site","Quantity released on- and off-site","Total production-related waste managed","Non production-related waste managed"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2004","DIOXIN AND DIOXIN-LIKE COMPOUNDS","'N150'","C","R","NAICS 2211 - Electric Utilities","          .0000000","          .0050671","          .0050671","          .0000000","          .0000000","          .0000000","          .0050671",".","          .0050671",".",".","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","          .0050671","          .0050671","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2004","HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY)","'007647010'","C","R","NAICS 2211 - Electric Utilities","          .0000000","     27295.0000000","     27295.0000000","          .0000000","          .0000000","          .0000000","     27295.0000000",".","     27295.0000000",".",".","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","     27295.0000000","     27295.0000000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2004","LEAD COMPOUNDS","'N420'","C","R","NAICS 2211 - Electric Utilities","          .0000000","       612.2400000","       612.2400000","         1.5530000","          .0000000","          .0000000","       613.7930000","        55.5200000","       669.3130000","       322.7700000",".",".","          .0000000","          .0000000","       378.2900000","          .0000000","          322.7700000","          .0000000","          .0000000","          .0000000","          .0000000","       667.7600000","       990.5300000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2004","MERCURY COMPOUNDS","'N458'","C","R","NAICS 2211 - Electric Utilities","          .0000000","        55.6300000","        55.6300000","          .0600000","          .0000000","          .0000000","        55.6900000","          .1200000","        55.8100000","         6.1900000",".",".","          .0000000","          .0000000","         6.3100000","          .0000000","            6.1900000","          .0000000","          .0000000","          .0000000","          .0000000","        55.7500000","        61.9400000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2004","NAPHTHALENE","'000091203'","C","R","NAICS 2211 - Electric Utilities","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000",".","          .0000000","       755.0730000",".","          .0000000","          .0000000","          .0000000","       755.0730000","          .0000000","          755.0740000","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","       755.0740000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2004","POLYCYCLIC AROMATIC COMPOUNDS","'N590'","C","R","NAICS 2211 - Electric Utilities","          .1000000","         1.6910000","         1.7910000","          .0000000","          .0000000","          .0000000","         1.7910000","         6.9800000","         8.7710000","       190.1870000",".","          .0000000","          .0000000","          .0000000","       197.1670000","          .0000000","          190.1870000","          .0000000","          .0000000","          .0000000","          .0000000","         8.7710000","       198.9580000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2005","BARIUM COMPOUNDS","'N040'","C","R","NAICS 2211 - Electric Utilities","          .0000000","      2178.8000000","      2178.8000000","         1.3000000","          .0000000","          .0000000","      2180.1000000","       179.6700000","      2359.7700000","     42510.9800000",".","          .0000000","          .0000000","          .0000000","     42690.6500000","          .0000000","        42510.9800000","          .0000000","          .0000000","          .0000000","          .0000000","      2359.7700000","     44870.7500000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2005","BENZO(G,H,I)PERYLENE","'000191242'","C","R","NAICS 2211 - Electric Utilities","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","          .4700000","          .4700000","        15.8200100",".","          .0000000","          .0000000","          .0000000","        16.2900100","          .0000000","           15.8200000","          .0000000","          .0000000","          .0000000","          .0000000","          .4700000","        16.2900000","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2005","DIOXIN AND DIOXIN-LIKE COMPOUNDS","'N150'","C","R","NAICS 2211 - Electric Utilities","          .0000000","          .0052259","          .0052259","          .0000000","          .0000000","          .0000000","          .0052259",".","          .0052259",".",".","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","          .0052259","          .0052259","          .0000000"
"PSEG POWER CONNECTICUT LLC BRIDGEPORT HARBOR STATION","06604BRDGP1ATLA","1 ATLANTIC ST","BRIDGEPORT","FAIRFIELD","CT","'06604'","2005","HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY)","'007647010'","C","R","NAICS 2211 - Electric Utilities","          .0000000","     28123.0000000","     28123.0000000","          .0000000","          .0000000","          .0000000","     28123.0000000",".","     28123.0000000",".",".","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","     28123.0000000","     28123.0000000","          .0000000"
